Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Number of Nodes,Processes per Node,Working Set Size,Working Set Size (Bytes),Message Size,Message Size (Bytes),Total Time STD,Computation Time STD,Measured Communication Time STD,Derived Communication Time STD,Total Processes,Message Size Mul.,Number of Messages,Computational Load Type,Communication to Total Time Ratio
0.31320651953125,0.24127780468749999,0.07192871484375,0.07192333203125001,64,4,32MiB,33554432.0,256.0KiB,32768.0,0.021736367645526555,0.0014887952898159054,0.02171356076863112,0.021713530183550694,256.0,256KiB,4.0,MemoryBound,0.22963548823597812
0.5302768007812501,0.241750359375,0.28852644140625006,0.28852096484375,64,4,32MiB,33554432.0,2.0MiB,262144.0,0.020647606751907247,0.0016049182282244496,0.020527200464289033,0.020527478812245592,256.0,2MiB,4.0,MemoryBound,0.5440950168264495
0.29517441796875,0.24137798046875003,0.0537964375,0.05379103515625,64,4,32MiB,33554432.0,32.0KiB,4096.0,0.022403093073477508,0.0015103176364261194,0.022305781833547,0.022305899136267602,256.0,32KiB,8.0,MemoryBound,0.1822347462439812
0.346304328125,0.24187243359375,0.10443189453125,0.10442631250000001,64,4,32MiB,33554432.0,256.0KiB,32768.0,0.02207797405773221,0.001600830757068876,0.022192636645458414,0.022192351612886144,256.0,256KiB,8.0,MemoryBound,0.3015449245621524
0.7767391445312499,0.24113205078125,0.5356070937499999,0.535601515625,64,4,32MiB,33554432.0,2.0MiB,262144.0,0.020995016169733996,0.0016552341605729124,0.020984081321840868,0.020984402793517522,256.0,2MiB,8.0,MemoryBound,0.6895513370170462
0.388376435546875,0.30305520703125,0.08532122851562501,0.08531592773437499,64,8,32MiB,33554432.0,32.0KiB,4096.0,0.026097900227881162,0.002910559782946712,0.026072918109239437,0.02607289905060154,512.0,32KiB,2.0,MemoryBound,0.2196732858270383
0.38893021875,0.302505412109375,0.086424806640625,0.086419482421875,64,8,32MiB,33554432.0,256.0KiB,32768.0,0.011748479400402407,0.0025687622680838893,0.012152889838448807,0.0121528009329268,512.0,256KiB,2.0,MemoryBound,0.22219791174782558
0.621776771484375,0.302999126953125,0.31877764453125,0.318772396484375,64,8,32MiB,33554432.0,2.0MiB,262144.0,0.02414207306758297,0.004439425797512251,0.024325077276201833,0.02432528240334628,512.0,2MiB,2.0,MemoryBound,0.5126798090629309
0.371460447265625,0.300726021484375,0.07073442578125,0.070728951171875,64,8,32MiB,33554432.0,32.0KiB,4096.0,0.020677703094559373,0.0024953450259165657,0.02125730553143084,0.02125749862021027,512.0,32KiB,4.0,MemoryBound,0.19040775859858355
0.40141192187499997,0.30206977539062496,0.099342146484375,0.09933691015625,64,8,32MiB,33554432.0,256.0KiB,32768.0,0.012683190053736835,0.003928327788910793,0.013735442131457422,0.013735671641581244,512.0,256KiB,4.0,MemoryBound,0.2474687590050791
0.866319103515625,0.29861133203125,0.567707771484375,0.567702310546875,64,8,32MiB,33554432.0,2.0MiB,262144.0,0.027653981919551165,0.006111312389669689,0.028523446549013325,0.028523520856844224,512.0,2MiB,4.0,MemoryBound,0.6553039269745665
0.36530335351562504,0.304452279296875,0.060851074218749995,0.060845787109374994,64,8,32MiB,33554432.0,32.0KiB,4096.0,0.013679338340419369,0.0031834485094355816,0.014510744058673152,0.0145106533953277,512.0,32KiB,8.0,MemoryBound,0.16656235570739827
0.471315861328125,0.30164237499999996,0.169673486328125,0.169667958984375,64,8,32MiB,33554432.0,256.0KiB,32768.0,0.012310685517724714,0.004364490966256116,0.01351744424216777,0.01351741364146635,512.0,256KiB,8.0,MemoryBound,0.35998779779289886
1.4095944296875,0.295607849609375,1.113986580078125,1.1139811074218748,64,8,32MiB,33554432.0,2.0MiB,262144.0,0.03759469393077915,0.010575028808639461,0.039713194944223686,0.03971343954189178,512.0,2MiB,8.0,MemoryBound,0.7902848393554157
0.6624131943359375,0.50263862109375,0.15977457324218752,0.1597662744140625,64,16,32MiB,33554432.0,32.0KiB,4096.0,0.03326559952063267,0.026153272425968013,0.04525263757806142,0.045253159705101444,1024.0,32KiB,2.0,MemoryBound,0.24118824289758686
0.6682661748046875,0.49365383203125,0.1746123427734375,0.17460365625,64,16,32MiB,33554432.0,256.0KiB,32768.0,0.026327610421820555,0.02750521869631895,0.03773003643817451,0.037730108934738486,1024.0,256KiB,2.0,MemoryBound,0.26127860848415824
1.0663076406249998,0.46537823535156253,0.6009294052734375,0.6009225722656251,64,16,32MiB,33554432.0,2.0MiB,262144.0,0.018325911924725678,0.03183328543122712,0.03257176621402988,0.03257197485417768,1024.0,2MiB,2.0,MemoryBound,0.5635545966015995
0.6436073359375001,0.470981283203125,0.17262605273437498,0.172617740234375,64,16,32MiB,33554432.0,32.0KiB,4096.0,0.029640551387468513,0.03683636923153507,0.053642413664568143,0.05364240521291449,1024.0,32KiB,4.0,MemoryBound,0.2682035001713183
0.6839098955078124,0.49536525,0.1885446455078125,0.1885370830078125,64,16,32MiB,33554432.0,256.0KiB,32768.0,0.027464063536223084,0.014828433846954831,0.032906415558165314,0.032906733971249845,1024.0,256KiB,4.0,MemoryBound,0.27567532542839013
1.6188213583984374,0.48783681640625,1.1309845419921876,1.1309779619140625,64,16,32MiB,33554432.0,2.0MiB,262144.0,0.027145635230580733,0.03984925516266305,0.04487172643153806,0.044871986480685765,1024.0,2MiB,4.0,MemoryBound,0.6986428465664567
0.6514090986328125,0.51709924609375,0.13430985253906247,0.1343025263671875,64,16,32MiB,33554432.0,32.0KiB,4096.0,0.038375606518428654,0.014586174890408332,0.04433785881499165,0.044337965617739575,1024.0,32KiB,8.0,MemoryBound,0.20617232189274565
0.8111758994140625,0.450127162109375,0.3610487373046875,0.36104149707031247,64,16,32MiB,33554432.0,256.0KiB,32768.0,0.03833018427833568,0.031850471502640545,0.045620930062436366,0.04562116776123518,1024.0,256KiB,8.0,MemoryBound,0.44508410238901813
0.8074977687499999,0.45447626484375,0.35302150390625,0.3530124453125,64,20,32MiB,33554432.0,32.0KiB,4096.0,0.028921530845488166,0.032977781551125664,0.049258958943606865,0.04925916459775515,1280.0,32KiB,2.0,MemoryBound,0.4371683229031833
