#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 2
# ( 1278 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 2048, 1000, 6.82, 6.92, 6.88, 1183.21, 256
, 4096, 1000, 9.44, 9.53, 9.49, 1719.93, 256
, 8192, 1000, 17.33, 17.41, 17.37, 1881.70, 256
, 16384, 1000, 36.26, 36.35, 36.32, 1803.00, 256
, 32768, 1000, 65.95, 67.23, 66.73, 1949.46, 256
, 65536, 640, 128.46, 129.26, 128.89, 2028.11, 256
, 131072, 320, 232.44, 234.94, 233.78, 2231.62, 256
, 262144, 160, 448.64, 456.80, 453.08, 2295.49, 256
, 524288, 80, 888.04, 901.92, 895.83, 2325.20, 256
, 1048576, 40, 1790.21, 1855.14, 1821.86, 2260.91, 256
, 2097152, 20, 3582.11, 3764.42, 3679.86, 2228.39, 256
, 4194304, 10, 7779.16, 8178.56, 7991.01, 2051.36, 256

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 512
# ( 768 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 2.62, 2.81, 2.71, 0.00, 512
, 1, 1000, 2.80, 2.89, 2.85, 1.38, 512
, 2, 1000, 2.72, 2.87, 2.79, 2.79, 512
, 4, 1000, 2.79, 2.88, 2.84, 5.55, 512
, 8, 1000, 2.78, 2.90, 2.83, 11.03, 512
, 16, 1000, 2.92, 3.01, 2.97, 21.29, 512
, 32, 1000, 2.81, 2.96, 2.88, 43.28, 512
, 64, 1000, 3.42, 3.53, 3.48, 72.45, 512
, 128, 1000, 3.81, 3.91, 3.86, 131.02, 512
, 256, 1000, 5.50, 5.63, 5.57, 181.95, 512
, 512, 1000, 6.01, 6.16, 6.08, 332.70, 512
, 1024, 1000, 6.02, 6.15, 6.08, 666.27, 512
, 2048, 1000, 9.30, 9.45, 9.39, 866.72, 512
, 4096, 1000, 16.61, 16.77, 16.68, 977.13, 512
, 8192, 1000, 32.07, 32.80, 32.48, 998.93, 512
, 16384, 1000, 60.56, 61.23, 60.99, 1070.29, 512
, 32768, 1000, 116.09, 116.67, 116.48, 1123.45, 512
, 65536, 640, 232.94, 234.42, 233.53, 1118.24, 512
, 131072, 320, 463.41, 467.09, 465.30, 1122.45, 512
, 262144, 160, 917.04, 929.79, 923.11, 1127.76, 512
, 524288, 80, 1820.72, 1872.77, 1849.61, 1119.81, 512
, 1048576, 40, 3629.56, 3793.62, 3711.24, 1105.62, 512
, 2097152, 20, 7231.87, 7830.31, 7520.41, 1071.30, 512
, 4194304, 10, 15277.76, 16855.74, 16259.42, 995.34, 512

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 1024
# ( 256 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 4.59, 4.77, 4.69, 0.00, 1024
, 1, 1000, 4.54, 4.75, 4.65, 0.84, 1024
